Times Metric,bis11 Trait,Correlation,P-value
T1_mean,Attenzione,-0.21779860222145592,0.24975891455775545
T1_mean,Comp_motorio,0.19488475584376005,0.29461348843319846
T1_mean,Autocontrollo,0.243679367626034,0.191909904229023
T1_mean,Compl_cogn,-0.07893862224383406,0.6740624465649292
T1_mean,Perseveranza,0.16351748504193211,0.3908820638257585
T1_mean,Instabilita_cog,-0.008138962667412649,0.9657068284765877
T1_mean,Impulsivita_cog,-0.08504928663628511,0.6456603927400055
T1_mean,Impulsivita_mot,0.09095085938862485,0.6182917208464238
T1_mean,Impulsivita_non_pian,0.1504142093990467,0.40735780874248184
T1_median,Attenzione,-0.29933554735698265,0.12171905664312051
T1_median,Comp_motorio,-0.04017652165832656,0.8325511641709721
T1_median,Autocontrollo,-0.06482037235521644,0.7341060343497303
T1_median,Compl_cogn,-0.2603778219616477,0.17465595067819073
T1_median,Perseveranza,-0.11798497593106737,0.5447396448033922
T1_median,Instabilita_cog,-0.08389450690175304,0.6645942190786062
T1_median,Impulsivita_cog,-0.20721243174558493,0.27294742017980644
T1_median,Impulsivita_mot,-0.1796875,0.3352850784570329
T1_median,Impulsivita_non_pian,-0.17054776006016162,0.3577925960943401
T1_std,Attenzione,-0.4275305895458209,0.023868268543681948
T1_std,Comp_motorio,0.023386170701251204,0.8999167266950987
T1_std,Autocontrollo,-0.3380068647715955,0.07028155050288913
T1_std,Compl_cogn,-0.26839131562903584,0.15272591858071305
T1_std,Perseveranza,-0.32703497008386423,0.08615514847025048
T1_std,Instabilita_cog,-0.07325066400671384,0.6988004629149517
T1_std,Impulsivita_cog,-0.22422084658656982,0.22543668818263785
T1_std,Impulsivita_mot,-0.09095085938862485,0.6182917208464238
T1_std,Impulsivita_non_pian,-0.28578699785818873,0.11542982507454172
T1_cv,Attenzione,-0.33073121078072937,0.08051315738619533
T1_cv,Comp_motorio,-0.007795390233750401,0.9665607342061314
T1_cv,Autocontrollo,-0.44805561144141737,0.016420886835922348
T1_cv,Compl_cogn,-0.20524041783396857,0.2741718275127708
T1_cv,Perseveranza,-0.31068322157967104,0.10305167367245395
T1_cv,Instabilita_cog,-0.04069481333706325,0.829793210839369
T1_cv,Impulsivita_cog,-0.22422084658656982,0.22543668818263785
T1_cv,Impulsivita_mot,-0.12126781251816647,0.5064574712477685
T1_cv,Impulsivita_non_pian,-0.3760355234976168,0.038323236564127686
T1_skewness,Attenzione,0.1209992234563644,0.5225572739608351
T1_skewness,Comp_motorio,0.42874646285627205,0.02112628592411495
T1_skewness,Autocontrollo,0.5266618590627187,0.0047967465760049835
T1_skewness,Compl_cogn,0.18945269338520176,0.3127876912010039
T1_skewness,Perseveranza,-0.049055245512579636,0.7968656416445299
T1_skewness,Instabilita_cog,-0.07325066400671384,0.6988004629149517
T1_skewness,Impulsivita_cog,0.08504928663628511,0.6456603927400055
T1_skewness,Impulsivita_mot,0.34864496098972864,0.0561272861179392
T1_skewness,Impulsivita_non_pian,0.4813254700769494,0.008016662053144144
T1_kurtosis,Attenzione,-0.07259953407381864,0.7012415445468837
