Times Metric,stroop_all Trait,Correlation,P-value
T2_std,RT_mean,-0.5588235294117646,0.0012750331727878694
T1+T2_cv,RT_mean,-0.5588235294117646,0.0012750331727878694
T2_std,RT_std,-0.5147058823529411,0.0033456623826434947
T1+T2_cv,RT_median,-0.5279138719240444,0.0033482101044280377
T2_skewness,RT_mean,-0.49999999999999994,0.004507537046975066
T1+T2_std,RT_mean,-0.49999999999999994,0.004507537046975066
T2_cv,RT_mean,-0.48529411764705876,0.00600683882392195
T2_std,RT_median,-0.48330143204313925,0.007233705859106978
T1+T2_skewness,RT_mean,-0.45588235294117646,0.010340361794472324
T2_outlier,RT_median,-0.49051147158797265,0.013318603831750257
T1+T2_std,RT_median,-0.438688992162234,0.014770366458602118
T2_skewness,RT_median,-0.438688992162234,0.014770366458602118
T2_cv,RT_median,-0.438688992162234,0.014770366458602118
T1+T2_cv,RT_std,-0.4264705882352941,0.017119110549244844
T2_outlier,RT_std,-0.467747276855785,0.017298794853766324
T1+T2_kurtosis,RT_outlier,-0.4734712619241063,0.018682708235127486
T2_cv,RT_std,-0.41176470588235287,0.02172533125679204
T2_kurtosis,RT_mean,-0.41176470588235287,0.02172533125679204
T1+T2_skewness,RT_std,-0.41176470588235287,0.02172533125679204
T2_outlier,RT_mean,-0.45042330363890404,0.02189781463571188
T1_median,RT_outlier,-0.46852128566581813,0.022880853226167303
T1+T2_median,RT_skew,-0.40590682253921034,0.02335853089921727
T1+T2_kurtosis,RT_std,-0.39705882352941174,0.027329794647271987
T2_skewness,RT_std,-0.39705882352941174,0.027329794647271987
T2_kurtosis,RT_std,-0.39705882352941174,0.027329794647271987
T1_kurtosis,RT_outlier,-0.4355935609701778,0.030490606843836057
T1_cv,RT_std,0.3823529411764705,0.034088901411189226
T1+T2_outlier,RT_median,-0.42323076600297377,0.034540106577126424
T1+T2_skewness,RT_median,-0.37920573898769383,0.03508378442810094
T1+T2_kurtosis,RT_skew,-0.3676470588235294,0.04217070212970702
T2_outlier,RT_iqr,-0.3984513839882613,0.04259511467865913
T2_kurtosis,RT_median,-0.3643349256940588,0.042893319882095764
T1+T2_median,RT_kurt,-0.3616260782622056,0.04336747644573645
T1_outlier,RT_mean,0.370579511163097,0.05925731170138014
T1+T2_skewness,RT_outlier,-0.378777009539285,0.05991185387038959
T1_std,RT_iqr,0.338235294117647,0.06302241248726353
T1+T2_std,RT_std,-0.338235294117647,0.06302241248726353
T2_std,RT_iqr,-0.338235294117647,0.06302241248726353
T2_cv,RT_iqr,-0.3235294117647059,0.07616914862439772
T3_std,RT_std,-0.3235294117647059,0.07616914862439772
T3_cv,RT_std,-0.3235294117647059,0.07616914862439772
T3_cv,RT_iqr,-0.3235294117647059,0.07616914862439772
T1_median,RT_skew,-0.318328007860187,0.08081736646586546
T1+T2_outlier,RT_mean,-0.3441302159595001,0.08303927159793
T2_kurtosis,RT_outlier,-0.34089930858535655,0.09039884175809138
T2_skewness,RT_outlier,-0.34089930858535655,0.09039884175809138
T1+T2_std,RT_outlier,-0.34089930858535655,0.09039884175809138
T3_iqr,RT_std,-0.30485167251951856,0.09041495312851279
T1_kurtosis,RT_kurt,-0.30882352941176466,0.09138624889203259
T1_std,RT_std,0.30882352941176466,0.09138624889203259
T1_iqr,RT_cv,0.3031695312954162,0.09634807418906276
T1+T2_outlier,RT_std,-0.325528582664392,0.10108325374717801
T1_kurtosis,RT_skew,-0.2941176470588235,0.10886459480774507
T1+T2_skewness,RT_skew,-0.2941176470588235,0.10886459480774507
T3_mean,RT_skew,-0.2941176470588235,0.10886459480774507
T1_cv,RT_iqr,0.2941176470588235,0.10886459480774507
T1+T2_median,RT_outlier,-0.3231507041569139,0.10953355900038687
T1_outlier,RT_median,0.3050174082760012,0.12368217553324626
T1_std,RT_median,0.27511004593224847,0.12629151442117303
T1_cv,RT_median,0.27511004593224847,0.12629151442117303
T1_cv,RT_mean,0.2794117647058823,0.12878898834482916
T1+T2_mean,RT_skew,-0.2794117647058823,0.12878898834482916
T1_cv,RT_cv,0.2794117647058823,0.12878898834482916
T1+T2_skewness,RT_kurt,-0.2794117647058823,0.12878898834482916
T1+T2_skewness,RT_cv,-0.2794117647058823,0.12878898834482916
T1+T2_cv,RT_iqr,-0.2794117647058823,0.12878898834482916
T1_iqr,RT_iqr,0.2728525781658746,0.1345130475910447
T3_nsamples,RT_outlier,-0.3151474257528698,0.13701748123022398
