Times Metric,stroop_congruent Trait,Correlation,P-value
T1_mean,RT_mean,-0.07352941176470587,0.7150317752938318
T1_mean,RT_median,-0.02941176470588235,0.9031966906069087
T1_mean,RT_std,-0.10294117647058822,0.5976439315443395
T1_mean,RT_cv,-0.13235294117647056,0.4896069682169023
T1_mean,RT_skew,-0.2205882352941176,0.23617204064651248
T1_mean,RT_kurt,-0.10294117647058822,0.5976439315443395
T1_mean,RT_iqr,-0.0588235294117647,0.7764940676883935
T1_mean,RT_outlier,-0.04596644570955762,0.8189200016767197
T1_mean,RT_noerrors,,
T1_mean,RT_nsamples,,
T1_median,RT_mean,0.060633906259083235,0.739463121826426
T1_median,RT_median,0.0,1.0
T1_median,RT_std,-0.045475429694312425,0.8030333653420818
T1_median,RT_cv,-0.1819017187772497,0.31842815555351556
T1_median,RT_skew,-0.22737714847156212,0.21235478747327785
T1_median,RT_kurt,-0.1364262890829373,0.4542973799874389
T1_median,RT_iqr,-0.19706019534202052,0.27977083184696827
T1_median,RT_outlier,0.06633357881315405,0.7466744494993078
T1_median,RT_noerrors,,
T1_median,RT_nsamples,,
T1_std,RT_mean,0.3235294117647059,0.07616914862439772
T1_std,RT_median,0.13235294117647056,0.4896069682169023
T1_std,RT_std,0.2647058823529411,0.15133363966308636
T1_std,RT_cv,0.1176470588235294,0.5423278567488096
T1_std,RT_skew,0.02941176470588235,0.9031966906069087
T1_std,RT_kurt,0.0588235294117647,0.7764940676883935
T1_std,RT_iqr,0.07352941176470587,0.7150317752938318
T1_std,RT_outlier,0.21144565026396508,0.29229623661850057
T1_std,RT_noerrors,,
T1_std,RT_nsamples,,
T1_cv,RT_mean,0.338235294117647,0.06302241248726353
T1_cv,RT_median,0.1764705882352941,0.34884640290128766
T1_cv,RT_std,0.338235294117647,0.06302241248726353
T1_cv,RT_cv,0.24999999999999997,0.17665741934030035
T1_cv,RT_skew,0.19117647058823525,0.30811454449876985
T1_cv,RT_kurt,0.16176470588235295,0.3927276123262421
T1_cv,RT_iqr,0.1176470588235294,0.5423278567488096
T1_cv,RT_outlier,0.26660538511543425,0.18423797969851496
T1_cv,RT_noerrors,,
T1_cv,RT_nsamples,,
T1_skewness,RT_mean,-0.0588235294117647,0.7764940676883935
T1_skewness,RT_median,0.07352941176470587,0.7150317752938318
T1_skewness,RT_std,0.02941176470588235,0.9031966906069087
T1_skewness,RT_cv,0.02941176470588235,0.9031966906069087
T1_skewness,RT_skew,-0.1176470588235294,0.5423278567488096
T1_skewness,RT_kurt,-0.1176470588235294,0.5423278567488096
T1_skewness,RT_iqr,0.16176470588235295,0.3927276123262421
T1_skewness,RT_outlier,0.027579867425734574,0.8907458009320663
T1_skewness,RT_noerrors,,
T1_skewness,RT_nsamples,,
