Times Metric,stroop_incongruent Trait,Correlation,P-value
T1_mean,RT_mean,0.044117647058823525,0.8393415533036079
T1_mean,RT_median,0.10294117647058822,0.5976439315443395
T1_mean,RT_std,-0.14705882352941174,0.43968652710486045
T1_mean,RT_cv,-0.14705882352941174,0.43968652710486045
T1_mean,RT_skew,-0.014705882352941175,0.9676638168395322
T1_mean,RT_kurt,0.13235294117647056,0.4896069682169023
T1_mean,RT_iqr,-0.10294117647058822,0.5976439315443395
T1_mean,RT_outlier,-0.0422200330920749,0.8357050269952793
T1_mean,RT_noerrors,0.03468729675471602,0.8661924712241905
T1_mean,RT_nsamples,-0.03468729675471602,0.8661924712241905
T1_median,RT_mean,0.060633906259083235,0.739463121826426
T1_median,RT_median,0.1515847656477081,0.4057414908867174
T1_median,RT_std,-0.21221867190679133,0.24443398503429636
T1_median,RT_cv,-0.3638034375544994,0.04600075485285103
T1_median,RT_skew,-0.22737714847156212,0.21235478747327785
T1_median,RT_kurt,-0.09095085938862485,0.6178874586644902
T1_median,RT_iqr,-0.12126781251816647,0.5059681189012846
T1_median,RT_outlier,-0.3155157514197023,0.12972254411218087
T1_median,RT_noerrors,-0.25028392967696794,0.23465017061096693
T1_median,RT_nsamples,0.25028392967696794,0.23465017061096693
T1_std,RT_mean,0.2647058823529411,0.15133363966308636
T1_std,RT_median,0.2941176470588235,0.10886459480774507
T1_std,RT_std,0.19117647058823525,0.30811454449876985
T1_std,RT_cv,0.10294117647058822,0.5976439315443395
T1_std,RT_skew,0.0588235294117647,0.7764940676883935
T1_std,RT_kurt,-0.1764705882352941,0.34884640290128766
T1_std,RT_iqr,0.2352941176470588,0.20489900152579948
T1_std,RT_outlier,-0.10555008273018725,0.6041263073291684
T1_std,RT_noerrors,0.08093702576100405,0.6942019245438966
T1_std,RT_nsamples,-0.08093702576100405,0.6942019245438966
T1_cv,RT_mean,0.2794117647058823,0.12878898834482916
T1_cv,RT_median,0.2794117647058823,0.12878898834482916
T1_cv,RT_std,0.20588235294117643,0.27056053596407176
T1_cv,RT_cv,0.14705882352941174,0.43968652710486045
T1_cv,RT_skew,0.10294117647058822,0.5976439315443395
T1_cv,RT_kurt,-0.13235294117647056,0.4896069682169023
T1_cv,RT_iqr,0.2205882352941176,0.23617204064651248
T1_cv,RT_outlier,-0.0844400661841498,0.6783024655972324
T1_cv,RT_noerrors,0.03468729675471602,0.8661924712241905
T1_cv,RT_nsamples,-0.03468729675471602,0.8661924712241905
T1_skewness,RT_mean,0.08823529411764705,0.6553075802476113
T1_skewness,RT_median,0.02941176470588235,0.9031966906069087
T1_skewness,RT_std,0.19117647058823525,0.30811454449876985
T1_skewness,RT_cv,0.2794117647058823,0.12878898834482916
T1_skewness,RT_skew,0.2647058823529411,0.15133363966308636
T1_skewness,RT_kurt,0.14705882352941174,0.43968652710486045
T1_skewness,RT_iqr,0.02941176470588235,0.9031966906069087
T1_skewness,RT_outlier,0.44331034746678644,0.0294359369343824
T1_skewness,RT_noerrors,-0.03468729675471602,0.8661924712241905
T1_skewness,RT_nsamples,0.03468729675471602,0.8661924712241905
T1_kurtosis,RT_mean,0.19117647058823525,0.30811454449876985
T1_kurtosis,RT_median,0.2794117647058823,0.12878898834482916
T1_kurtosis,RT_std,-0.0588235294117647,0.7764940676883935
T1_kurtosis,RT_cv,-0.2941176470588235,0.10886459480774507
T1_kurtosis,RT_skew,-0.4264705882352941,0.017119110549244844
T1_kurtosis,RT_kurt,-0.338235294117647,0.06302241248726353
T1_kurtosis,RT_iqr,0.044117647058823525,0.8393415533036079
T1_kurtosis,RT_outlier,-0.5066403971048988,0.012821684691391543
T1_kurtosis,RT_noerrors,0.057812161257860026,0.7788423433329366
T1_kurtosis,RT_nsamples,-0.057812161257860026,0.7788423433329366
T1_iqr,RT_mean,-0.015158476564770809,0.9337393464207391
T1_iqr,RT_median,-0.015158476564770809,0.9337393464207391
T1_iqr,RT_std,0.10610933595339567,0.5605749691000803
T1_iqr,RT_cv,0.2576941016011038,0.15753853102836857
T1_iqr,RT_skew,0.1364262890829373,0.4542973799874389
T1_iqr,RT_kurt,-0.21221867190679133,0.24443398503429636
T1_iqr,RT_iqr,0.1819017187772497,0.31842815555351556
T1_iqr,RT_outlier,0.0761589744806178,0.7145611950079678
T1_iqr,RT_noerrors,0.10726454129012913,0.6105123540900065
