,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU033,1,734,433,1167,267.0,2,2
1,IDU033,2,700,300,1000,300.0,1,2
2,IDU033,3,600,401,1001,267.0,1,3
3,IDU033,4,567,567,1134,267.0,1,1
4,IDU033,5,267,634,901,,3,9
5,IDU033,6,500,400,900,,3,5
6,IDU033,7,800,200,1000,400.0,3,3
7,IDU033,8,1135,201,1336,334.0,1,2
8,IDU033,9,967,200,1167,267.0,1,1
9,IDU033,10,467,300,767,,1,1
10,IDU033,11,734,267,1001,,3,3
11,IDU033,12,701,433,1134,467.0,1,9
12,IDU033,13,801,300,1101,233.0,1,1
13,IDU033,14,1000,233,1233,267.0,2,4
14,IDU033,15,700,300,1000,234.0,2,5
15,IDU033,16,701,301,1002,301.0,1,3
16,IDU033,17,534,633,1167,300.0,2,5
