SUBJECT,TRIAL,REACTION_TIME,CORRECT,TYPE_OF_TASK
IDU002,1,406,1,0
IDU002,2,345,1,0
IDU002,3,-1,1,0
IDU002,4,327,1,0
IDU002,5,383,1,0
IDU002,6,-1,1,0
IDU002,7,347,1,0
IDU002,8,367,1,0
IDU002,9,348,1,0
IDU002,10,-1,1,0
IDU002,11,413,1,0
IDU002,12,352,1,0
IDU002,13,389,1,0
IDU002,14,349,1,0
IDU002,15,343,1,0
IDU002,16,344,1,0
IDU002,17,350,1,0
IDU002,18,371,1,0
IDU002,19,-1,1,0
IDU002,20,395,1,0
IDU002,21,403,1,0
IDU002,22,342,1,0
IDU002,23,-1,1,0
IDU002,24,307,1,0
IDU002,25,344,1,0
IDU002,26,371,1,0
IDU002,27,392,1,0
IDU002,28,333,1,0
IDU002,29,343,1,0
IDU002,30,-1,1,0
IDU002,31,307,1,0
IDU002,32,-1,1,0
IDU002,33,344,1,0
IDU002,34,356,1,0
IDU002,35,359,1,0
IDU002,36,363,1,0
IDU002,37,-1,1,0
IDU002,38,334,1,0
IDU002,39,369,1,0
IDU002,40,368,1,0
IDU002,41,409,1,0
IDU002,42,-1,1,0
IDU002,43,323,1,0
IDU002,44,-1,1,0
IDU002,45,387,1,0
IDU002,46,-1,1,0
IDU002,47,433,1,0
IDU002,48,559,1,0
IDU002,49,420,1,0
IDU002,50,538,1,0
IDU002,51,365,1,0
IDU002,52,-1,1,0
IDU002,53,428,1,0
IDU002,54,363,1,0
IDU002,55,336,1,0
IDU002,56,358,1,0
IDU002,57,299,1,0
IDU002,58,366,1,0
IDU002,59,279,1,0
IDU002,60,-1,1,0
IDU002,61,320,1,0
IDU002,62,316,1,0
IDU002,63,329,1,0
IDU002,64,-1,1,0
IDU002,65,349,1,0
IDU002,66,332,1,0
IDU002,67,-1,1,0
IDU002,68,326,1,0
IDU002,69,330,1,0
IDU002,70,336,1,0
IDU002,71,297,1,0
IDU002,72,-1,1,0
IDU002,73,379,1,0
IDU002,74,382,1,0
IDU002,75,441,1,0
IDU002,76,321,1,0
IDU002,77,-1,1,0
IDU008,1,323,1,0
IDU008,2,322,1,0
IDU008,3,306,1,0
IDU008,4,-1,1,0
IDU008,5,394,1,0
IDU008,6,364,1,0
IDU008,7,-1,1,0
IDU008,8,306,1,0
IDU008,9,-1,1,0
IDU008,10,371,1,0
IDU008,11,353,1,0
IDU008,12,379,1,0
IDU008,13,-1,1,0
IDU008,14,349,1,0
IDU008,15,326,1,0
IDU008,16,-1,1,0
IDU008,17,328,1,0
IDU008,18,448,1,0
IDU008,19,388,1,0
IDU008,20,314,1,0
IDU008,21,-1,1,0
IDU008,22,343,1,0
IDU008,23,-1,1,0
IDU008,24,384,1,0
IDU008,25,-1,1,0
IDU008,26,324,1,0
IDU008,27,336,1,0
IDU008,28,340,1,0
IDU008,29,-1,1,0
IDU008,30,305,1,0
IDU008,31,282,1,0
IDU008,32,-1,1,0
IDU008,33,358,1,0
IDU008,34,344,1,0
IDU008,35,347,1,0
IDU008,36,344,1,0
IDU008,37,330,1,0
IDU008,38,319,1,0
IDU008,39,419,1,0
IDU008,40,-1,1,0
IDU008,41,305,1,0
IDU008,42,347,1,0
IDU008,43,390,1,0
IDU008,44,-1,1,0
IDU008,45,343,1,0
IDU008,46,332,1,0
IDU008,47,345,1,0
IDU008,48,339,1,0
IDU008,49,308,1,0
IDU008,50,-1,1,0
IDU008,51,319,1,0
IDU008,52,280,1,0
IDU008,53,361,1,0
IDU008,54,312,1,0
IDU008,55,360,1,0
IDU008,56,327,1,0
IDU008,57,341,1,0
IDU008,58,325,0,0
IDU008,59,413,1,0
IDU008,60,351,1,0
IDU008,61,366,1,0
IDU008,62,333,1,0
IDU008,63,-1,1,0
IDU008,64,333,1,0
IDU008,65,315,1,0
IDU008,66,445,1,0
IDU008,67,-1,1,0
IDU008,68,353,1,0
IDU008,69,348,1,0
IDU008,70,375,1,0
IDU008,71,354,1,0
IDU008,72,344,1,0
IDU008,73,387,1,0
IDU008,74,-1,1,0
IDU008,75,322,1,0
IDU008,76,341,1,0
IDU008,77,332,1,0
IDU011,1,368,1,0
IDU011,2,388,1,0
IDU011,3,266,1,0
IDU011,4,297,1,0
IDU011,5,-1,1,0
IDU011,6,287,1,0
IDU011,7,483,0,0
IDU011,8,375,1,0
IDU011,9,-1,1,0
IDU011,10,290,1,0
IDU011,11,430,1,0
IDU011,12,392,1,0
IDU011,13,410,1,0
IDU011,14,-1,1,0
IDU011,15,395,1,0
IDU011,16,399,1,0
IDU011,17,365,1,0
IDU011,18,331,1,0
IDU011,19,-1,1,0
IDU011,20,269,1,0
IDU011,21,422,1,0
IDU011,22,-1,1,0
IDU011,23,281,1,0
IDU011,24,434,1,0
IDU011,25,347,1,0
IDU011,26,300,1,0
IDU011,27,410,1,0
IDU011,28,-1,1,0
IDU011,29,315,1,0
IDU011,30,303,1,0
IDU011,31,343,1,0
IDU011,32,276,1,0
IDU011,33,301,1,0
IDU011,34,258,1,0
IDU011,35,284,1,0
IDU011,36,351,1,0
IDU011,37,236,1,0
IDU011,38,236,1,0
IDU011,39,238,1,0
IDU011,40,315,1,0
IDU011,41,258,1,0
IDU011,42,-1,1,0
IDU011,43,304,1,0
IDU011,44,354,1,0
IDU011,45,265,1,0
IDU011,46,230,1,0
IDU011,47,288,1,0
IDU011,48,-1,1,0
IDU011,49,232,1,0
IDU011,50,311,1,0
IDU011,51,-1,1,0
IDU011,52,315,1,0
IDU011,53,322,1,0
IDU011,54,320,1,0
IDU011,55,-1,1,0
IDU011,56,276,1,0
IDU011,57,315,1,0
IDU011,58,332,1,0
IDU011,59,-1,1,0
IDU011,60,301,1,0
IDU011,61,376,1,0
IDU011,62,312,1,0
IDU011,63,-1,1,0
IDU011,64,216,1,0
IDU011,65,270,1,0
IDU011,66,-1,1,0
IDU011,67,266,1,0
IDU011,68,-1,1,0
IDU011,69,529,1,0
IDU011,70,-1,1,0
IDU011,71,351,1,0
IDU011,72,418,1,0
IDU011,73,-1,1,0
IDU011,74,438,1,0
IDU011,75,454,1,0
IDU011,76,382,1,0
IDU011,77,316,1,0
IDU013,1,542,1,0
IDU013,2,-1,1,0
IDU013,3,396,1,0
IDU013,4,537,1,0
IDU013,5,367,1,0
IDU013,6,394,1,0
IDU013,7,377,1,0
IDU013,8,-1,1,0
IDU013,9,352,1,0
IDU013,10,492,1,0
IDU013,11,368,1,0
IDU013,12,391,1,0
IDU013,13,375,1,0
IDU013,14,345,1,0
IDU013,15,-1,1,0
IDU013,16,333,1,0
IDU013,17,315,1,0
IDU013,18,314,1,0
IDU013,19,-1,1,0
IDU013,20,436,1,0
IDU013,21,371,1,0
IDU013,22,-1,1,0
IDU013,23,412,1,0
IDU013,24,-1,1,0
IDU013,25,334,1,0
IDU013,26,386,1,0
IDU013,27,417,1,0
IDU013,28,459,1,0
IDU013,29,410,1,0
IDU013,30,360,1,0
IDU013,31,279,1,0
IDU013,32,347,1,0
IDU013,33,-1,1,0
IDU013,34,-1,0,0
IDU013,35,0,1,0
IDU013,36,565,1,0
IDU013,37,350,1,0
IDU013,38,325,1,0
IDU013,39,398,1,0
IDU013,40,278,1,0
IDU013,41,274,1,0
IDU013,42,313,1,0
IDU013,43,325,1,0
IDU013,44,307,1,0
IDU013,45,-1,1,0
IDU013,46,632,1,0
IDU013,47,520,1,0
IDU013,48,-1,1,0
IDU013,49,339,1,0
IDU013,50,387,1,0
IDU013,51,0,0,0
IDU013,52,424,1,0
IDU013,53,-1,1,0
IDU013,54,374,1,0
IDU013,55,370,1,0
IDU013,56,423,1,0
IDU013,57,347,1,0
IDU013,58,334,1,0
IDU013,59,-1,1,0
IDU013,60,373,1,0
IDU013,61,384,1,0
IDU013,62,275,1,0
IDU013,63,266,1,0
IDU013,64,-1,1,0
IDU013,65,385,1,0
IDU013,66,282,1,0
IDU013,67,372,1,0
IDU013,68,-1,1,0
IDU013,69,378,1,0
IDU013,70,339,1,0
IDU013,71,566,1,0
IDU013,72,-1,1,0
IDU013,73,336,1,0
IDU013,74,365,1,0
IDU013,75,-1,1,0
IDU013,76,479,1,0
IDU013,77,-1,1,0
IDU015,1,324,1,0
IDU015,2,-1,1,0
IDU015,3,295,1,0
IDU015,4,-1,1,0
IDU015,5,338,1,0
IDU015,6,373,1,0
IDU015,7,382,1,0
IDU015,8,357,1,0
IDU015,9,393,1,0
IDU015,10,543,1,0
IDU015,11,369,1,0
IDU015,12,385,1,0
IDU015,13,346,1,0
IDU015,14,329,1,0
IDU015,15,395,1,0
IDU015,16,-1,1,0
IDU015,17,380,1,0
IDU015,18,343,1,0
IDU015,19,-1,1,0
IDU015,20,320,1,0
IDU015,21,-1,1,0
IDU015,22,319,1,0
IDU015,23,302,1,0
IDU015,24,321,1,0
IDU015,25,-1,1,0
IDU015,26,382,1,0
IDU015,27,279,1,0
IDU015,28,373,1,0
IDU015,29,-1,1,0
IDU015,30,317,1,0
IDU015,31,-1,1,0
IDU015,32,370,1,0
IDU015,33,353,1,0
IDU015,34,292,1,0
IDU015,35,379,1,0
IDU015,36,-1,1,0
IDU015,37,395,1,0
IDU015,38,530,1,0
IDU015,39,-1,1,0
IDU015,40,380,1,0
IDU015,41,311,1,0
IDU015,42,325,1,0
IDU015,43,313,1,0
IDU015,44,342,1,0
IDU015,45,312,1,0
IDU015,46,303,1,0
IDU015,47,-1,1,0
IDU015,48,476,1,0
IDU015,49,304,1,0
IDU015,50,604,1,0
IDU015,51,-1,1,0
IDU015,52,384,1,0
IDU015,53,481,1,0
IDU015,54,293,1,0
IDU015,55,322,1,0
IDU015,56,-1,1,0
IDU015,57,316,1,0
IDU015,58,294,1,0
IDU015,59,301,1,0
IDU015,60,373,1,0
IDU015,61,-1,1,0
IDU015,62,271,1,0
IDU015,63,-1,1,0
IDU015,64,385,1,0
IDU015,65,378,1,0
IDU015,66,-1,1,0
IDU015,67,397,1,0
IDU015,68,328,1,0
IDU015,69,455,1,0
IDU015,70,-1,1,0
IDU015,71,354,1,0
IDU015,72,333,1,0
IDU015,73,320,1,0
IDU015,74,315,1,0
IDU015,75,308,1,0
IDU015,76,308,1,0
IDU015,77,285,1,0
IDU017,1,324,1,0
IDU017,2,-1,1,0
IDU017,3,279,1,0
IDU017,4,324,1,0
IDU017,5,353,1,0
IDU017,6,315,1,0
IDU017,7,-1,1,0
IDU017,8,242,1,0
IDU017,9,254,1,0
IDU017,10,269,1,0
IDU017,11,345,1,0
IDU017,12,251,1,0
IDU017,13,272,1,0
IDU017,14,249,1,0
IDU017,15,265,1,0
IDU017,16,-1,1,0
IDU017,17,261,1,0
IDU017,18,227,1,0
IDU017,19,242,1,0
IDU017,20,-1,1,0
IDU017,21,202,1,0
IDU017,22,235,1,0
IDU017,23,241,1,0
IDU017,24,-1,1,0
IDU017,25,263,1,0
IDU017,26,258,1,0
IDU017,27,264,1,0
IDU017,28,269,1,0
IDU017,29,-1,1,0
IDU017,30,204,1,0
IDU017,31,246,1,0
IDU017,32,257,1,0
IDU017,33,274,1,0
IDU017,34,269,1,0
IDU017,35,266,1,0
IDU017,36,-1,1,0
IDU017,37,284,1,0
IDU017,38,260,0,0
IDU017,39,444,1,0
IDU017,40,254,1,0
IDU017,41,232,1,0
IDU017,42,245,1,0
IDU017,43,251,1,0
IDU017,44,258,1,0
IDU017,45,-1,1,0
IDU017,46,264,1,0
IDU017,47,229,1,0
IDU017,48,302,1,0
IDU017,49,-1,1,0
IDU017,50,307,1,0
IDU017,51,281,1,0
IDU017,52,274,1,0
IDU017,53,284,1,0
IDU017,54,-1,1,0
IDU017,55,233,1,0
IDU017,56,202,1,0
IDU017,57,266,0,0
IDU017,58,282,1,0
IDU017,59,-1,1,0
IDU017,60,350,1,0
IDU017,61,272,1,0
IDU017,62,272,1,0
IDU017,63,323,1,0
IDU017,64,354,1,0
IDU017,65,345,1,0
IDU017,66,304,1,0
IDU017,67,-1,1,0
IDU017,68,259,1,0
IDU017,69,279,1,0
IDU017,70,273,1,0
IDU017,71,-1,1,0
IDU017,72,248,1,0
IDU017,73,-1,1,0
IDU017,74,298,1,0
IDU017,75,242,1,0
IDU017,76,-1,1,0
IDU017,77,242,1,0
IDU019,1,446,1,0
IDU019,2,-1,1,0
IDU019,3,277,1,0
IDU019,4,437,1,0
IDU019,5,-1,1,0
IDU019,6,341,1,0
IDU019,7,345,1,0
IDU019,8,-1,1,0
IDU019,9,270,1,0
IDU019,10,344,1,0
IDU019,11,345,1,0
IDU019,12,387,1,0
IDU019,13,-1,1,0
IDU019,14,295,1,0
IDU019,15,393,1,0
IDU019,16,328,1,0
IDU019,17,354,1,0
IDU019,18,370,1,0
IDU019,19,-1,1,0
IDU019,20,0,1,0
IDU019,21,-1,0,0
IDU019,22,0,1,0
IDU019,23,644,1,0
IDU019,24,466,1,0
IDU019,25,528,1,0
IDU019,26,443,1,0
IDU019,27,-1,1,0
IDU019,28,308,1,0
IDU019,29,362,1,0
IDU019,30,-1,1,0
IDU019,31,271,1,0
IDU019,32,377,1,0
IDU019,33,370,1,0
IDU019,34,359,1,0
IDU019,35,387,1,0
IDU019,36,372,1,0
IDU019,37,351,1,0
IDU019,38,366,1,0
IDU019,39,348,1,0
IDU019,40,344,1,0
IDU019,41,343,1,0
IDU019,42,-1,1,0
IDU019,43,305,1,0
IDU019,44,381,1,0
IDU019,45,-1,1,0
IDU019,46,266,1,0
IDU019,47,315,1,0
IDU019,48,326,1,0
IDU019,49,-1,1,0
IDU019,50,288,1,0
IDU019,51,322,1,0
IDU019,52,-1,1,0
IDU019,53,264,1,0
IDU019,54,414,1,0
IDU019,55,405,1,0
IDU019,56,-1,1,0
IDU019,57,294,1,0
IDU019,58,-1,1,0
IDU019,59,303,1,0
