SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU002,1,BLU,GIALLO,0,g,1,1078,1708701738212
IDU002,2,VERDE,GIALLO,0,g,1,616,1708701739353
IDU002,3,GIALLO,VERDE,0,v,1,949,1708701740900
IDU002,4,ROSSO,VERDE,0,v,1,453,1708701741951
IDU002,5,GIALLO,BLU,0,b,1,751,1708701743298
IDU002,6,ROSSO,ROSSO,1,r,1,612,1708701744433
IDU002,7,GIALLO,GIALLO,1,g,1,811,1708701745779
IDU002,8,GIALLO,GIALLO,1,g,1,497,1708701746801
IDU002,9,ROSSO,GIALLO,0,g,1,798,1708701748123
IDU002,10,VERDE,VERDE,1,v,1,770,1708701749457
IDU002,11,VERDE,VERDE,1,v,1,497,1708701750478
IDU002,12,ROSSO,ROSSO,1,r,1,654,1708701751657
IDU002,13,ROSSO,BLU,0,b,1,833,1708701753079
IDU002,14,VERDE,VERDE,1,v,1,1087,1708701754713
IDU002,15,ROSSO,ROSSO,1,r,1,662,1708701755898
IDU002,16,BLU,BLU,1,b,1,765,1708701757260
IDU002,17,VERDE,ROSSO,0,r,1,674,1708701758461
IDU002,18,BLU,VERDE,0,v,1,959,1708701759943
IDU002,19,GIALLO,GIALLO,1,g,1,662,1708701761130
IDU002,20,GIALLO,ROSSO,0,r,1,755,1708701762491
IDU002,21,BLU,BLU,1,b,1,707,1708701763778
IDU002,22,BLU,BLU,1,b,1,589,1708701764892
IDU002,23,BLU,ROSSO,0,r,1,716,1708701766133
IDU002,24,VERDE,BLU,0,b,1,633,1708701767290
IDU008,1,ROSSO,VERDE,0,v,1,1195,1714486900892
IDU008,2,GIALLO,GIALLO,1,g,1,1123,1714486902540
IDU008,3,BLU,ROSSO,0,r,1,1416,1714486904481
IDU008,4,ROSSO,ROSSO,1,r,1,924,1714486905929
IDU008,5,GIALLO,ROSSO,0,r,1,968,1714486907422
IDU008,6,GIALLO,BLU,0,b,1,1007,1714486908953
IDU008,7,VERDE,VERDE,1,v,1,861,1714486910338
IDU008,8,GIALLO,VERDE,0,v,1,935,1714486911798
IDU008,9,VERDE,BLU,0,b,1,902,1714486913225
IDU008,10,GIALLO,GIALLO,1,g,1,1063,1714486914811
IDU008,11,VERDE,GIALLO,0,g,1,944,1714486916281
IDU008,12,ROSSO,ROSSO,1,r,1,969,1714486917774
IDU008,13,VERDE,ROSSO,0,r,1,937,1714486919236
IDU008,14,BLU,BLU,1,b,1,806,1714486920566
IDU008,15,VERDE,VERDE,1,v,1,905,1714486921995
IDU008,16,BLU,BLU,1,b,1,1116,1714486923636
IDU008,17,ROSSO,ROSSO,1,r,1,833,1714486924994
IDU008,18,GIALLO,GIALLO,1,g,1,914,1714486926432
IDU008,19,VERDE,VERDE,1,v,1,778,1714486927734
IDU008,20,BLU,VERDE,0,v,1,1010,1714486929269
IDU008,21,ROSSO,GIALLO,0,g,1,894,1714486930688
IDU008,22,BLU,BLU,1,b,1,797,1714486932009
IDU008,23,BLU,GIALLO,0,g,1,947,1714486933480
IDU008,24,ROSSO,BLU,0,b,1,1512,1714486935516
IDU011,1,GIALLO,GIALLO,1,g,1,900,1715262674229
IDU011,2,VERDE,GIALLO,0,g,1,2281,1715262677033
IDU011,3,BLU,VERDE,0,v,1,995,1715262678552
IDU011,4,BLU,GIALLO,0,g,1,1783,1715262680858
IDU011,5,VERDE,VERDE,1,v,1,1141,1715262682524
IDU011,6,VERDE,ROSSO,0,r,1,893,1715262683940
IDU011,7,VERDE,BLU,0,b,1,946,1715262685411
IDU011,8,GIALLO,VERDE,0,v,1,919,1715262686855
IDU011,9,BLU,BLU,1,b,1,1120,1715262688500
IDU011,10,ROSSO,ROSSO,1,r,1,949,1715262689972
IDU011,11,GIALLO,GIALLO,1,g,1,1089,1715262691585
IDU011,12,BLU,BLU,1,b,1,1476,1715262693584
IDU011,13,ROSSO,ROSSO,1,r,1,1113,1715262695221
IDU011,14,VERDE,VERDE,1,v,1,765,1715262696512
IDU011,15,BLU,ROSSO,0,r,1,1190,1715262698225
IDU011,16,ROSSO,VERDE,0,v,1,1263,1715262700011
IDU011,17,ROSSO,ROSSO,1,r,1,816,1715262701352
IDU011,18,GIALLO,BLU,0,b,1,1097,1715262702972
IDU011,19,GIALLO,ROSSO,0,r,1,901,1715262704398
IDU011,20,GIALLO,GIALLO,1,g,1,890,1715262705812
IDU011,21,ROSSO,BLU,0,b,1,1445,1715262707781
IDU011,22,BLU,BLU,1,b,1,1029,1715262709334
IDU011,23,ROSSO,GIALLO,0,g,1,961,1715262710819
IDU011,24,VERDE,VERDE,1,v,1,979,1715262712322
IDU013,1,VERDE,ROSSO,0,r,1,1634,1715765677703
IDU013,2,GIALLO,BLU,0,b,1,1250,1715765679477
IDU013,3,ROSSO,ROSSO,1,r,1,872,1715765680873
IDU013,4,ROSSO,BLU,0,b,1,947,1715765682345
IDU013,5,ROSSO,VERDE,0,v,1,1186,1715765684055
IDU013,6,VERDE,BLU,0,b,1,1257,1715765685835
IDU013,7,BLU,BLU,1,b,1,783,1715765687141
IDU013,8,VERDE,VERDE,1,v,1,867,1715765688532
IDU013,9,VERDE,VERDE,1,v,1,698,1715765689754
IDU013,10,GIALLO,GIALLO,1,g,1,917,1715765691193
IDU013,11,ROSSO,ROSSO,1,r,1,921,1715765692637
IDU013,12,GIALLO,GIALLO,1,g,1,1023,1715765694185
IDU013,13,BLU,VERDE,0,v,1,1320,1715765696029
IDU013,14,GIALLO,GIALLO,1,g,1,1193,1715765697745
IDU013,15,VERDE,GIALLO,0,g,1,1396,1715765699664
IDU013,16,ROSSO,GIALLO,0,g,1,1269,1715765701455
IDU013,17,BLU,GIALLO,0,g,1,1065,1715765703044
IDU013,18,ROSSO,ROSSO,1,r,1,884,1715765704451
IDU013,19,BLU,ROSSO,0,r,1,1564,1715765706539
IDU013,20,GIALLO,VERDE,0,v,1,980,1715765708044
IDU013,21,BLU,BLU,1,b,1,860,1715765709428
IDU013,22,GIALLO,ROSSO,0,r,1,1532,1715765711483
IDU013,23,BLU,BLU,1,b,1,1352,1715765713360
IDU013,24,VERDE,VERDE,1,v,1,1615,1715765715498
IDU015,1,VERDE,VERDE,1,v,1,849,1716546522060
IDU015,2,ROSSO,ROSSO,1,r,1,727,1716546523377
IDU015,3,VERDE,GIALLO,0,g,1,820,1716546524721
IDU015,4,BLU,GIALLO,0,g,1,734,1716546525980
IDU015,5,GIALLO,GIALLO,1,g,1,430,1716546526950
IDU015,6,BLU,VERDE,0,v,1,833,1716546528309
IDU015,7,GIALLO,GIALLO,1,g,1,716,1716546529547
IDU015,8,GIALLO,GIALLO,1,g,1,809,1716546530900
IDU015,9,GIALLO,VERDE,0,v,1,1022,1716546532463
IDU015,10,VERDE,VERDE,1,v,1,450,1716546533482
IDU015,11,VERDE,ROSSO,0,r,1,690,1716546534696
IDU015,12,VERDE,VERDE,1,v,1,674,1716546535931
IDU015,13,BLU,BLU,1,b,1,852,1716546537331
IDU015,14,ROSSO,VERDE,0,v,1,809,1716546538664
IDU015,15,ROSSO,ROSSO,1,r,1,617,1716546539805
IDU015,16,ROSSO,ROSSO,1,r,1,447,1716546540778
IDU015,17,GIALLO,BLU,0,b,1,1033,1716546542334
IDU015,18,BLU,BLU,1,b,1,585,1716546543486
IDU015,19,BLU,BLU,1,b,1,572,1716546544582
IDU015,20,ROSSO,GIALLO,0,g,1,667,1716546545772
IDU015,21,ROSSO,BLU,0,b,1,879,1716546547175
IDU015,22,GIALLO,ROSSO,0,r,1,690,1716546548391
IDU015,23,BLU,ROSSO,0,r,1,611,1716546549527
IDU015,24,VERDE,BLU,0,b,1,865,1716546550916
IDU017,1,VERDE,GIALLO,0,v,0,831,1716821026990
IDU017,2,ROSSO,ROSSO,1,r,1,929,1716821028444
IDU017,3,BLU,BLU,1,b,1,757,1716821029726
IDU017,4,BLU,GIALLO,0,g,1,874,1716821031123
IDU017,5,BLU,BLU,1,b,1,1229,1716821032877
IDU017,6,ROSSO,VERDE,0,v,1,942,1716821034343
IDU017,7,GIALLO,VERDE,0,v,1,486,1716821035352
IDU017,8,GIALLO,ROSSO,0,r,1,479,1716821036356
IDU017,9,GIALLO,GIALLO,1,g,1,591,1716821037470
IDU017,10,BLU,VERDE,0,v,1,609,1716821038603
IDU017,11,VERDE,BLU,0,r,0,595,1716821039722
IDU017,12,ROSSO,ROSSO,1,r,1,604,1716821040850
IDU017,13,VERDE,VERDE,1,v,1,647,1716821042021
IDU017,14,VERDE,VERDE,1,v,1,406,1716821042950
