SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU002,6,ROSSO,ROSSO,1,r,1,612,1708701744433
IDU002,7,GIALLO,GIALLO,1,g,1,811,1708701745779
IDU002,8,GIALLO,GIALLO,1,g,1,497,1708701746801
IDU002,10,VERDE,VERDE,1,v,1,770,1708701749457
IDU002,11,VERDE,VERDE,1,v,1,497,1708701750478
IDU002,12,ROSSO,ROSSO,1,r,1,654,1708701751657
IDU002,14,VERDE,VERDE,1,v,1,1087,1708701754713
IDU002,15,ROSSO,ROSSO,1,r,1,662,1708701755898
IDU002,16,BLU,BLU,1,b,1,765,1708701757260
IDU002,19,GIALLO,GIALLO,1,g,1,662,1708701761130
IDU002,21,BLU,BLU,1,b,1,707,1708701763778
IDU002,22,BLU,BLU,1,b,1,589,1708701764892
IDU008,2,GIALLO,GIALLO,1,g,1,1123,1714486902540
IDU008,4,ROSSO,ROSSO,1,r,1,924,1714486905929
IDU008,7,VERDE,VERDE,1,v,1,861,1714486910338
IDU008,10,GIALLO,GIALLO,1,g,1,1063,1714486914811
IDU008,12,ROSSO,ROSSO,1,r,1,969,1714486917774
IDU008,14,BLU,BLU,1,b,1,806,1714486920566
IDU008,15,VERDE,VERDE,1,v,1,905,1714486921995
IDU008,16,BLU,BLU,1,b,1,1116,1714486923636
IDU008,17,ROSSO,ROSSO,1,r,1,833,1714486924994
IDU008,18,GIALLO,GIALLO,1,g,1,914,1714486926432
IDU008,19,VERDE,VERDE,1,v,1,778,1714486927734
IDU008,22,BLU,BLU,1,b,1,797,1714486932009
IDU011,1,GIALLO,GIALLO,1,g,1,900,1715262674229
IDU011,5,VERDE,VERDE,1,v,1,1141,1715262682524
IDU011,9,BLU,BLU,1,b,1,1120,1715262688500
IDU011,10,ROSSO,ROSSO,1,r,1,949,1715262689972
IDU011,11,GIALLO,GIALLO,1,g,1,1089,1715262691585
IDU011,12,BLU,BLU,1,b,1,1476,1715262693584
IDU011,13,ROSSO,ROSSO,1,r,1,1113,1715262695221
IDU011,14,VERDE,VERDE,1,v,1,765,1715262696512
IDU011,17,ROSSO,ROSSO,1,r,1,816,1715262701352
IDU011,20,GIALLO,GIALLO,1,g,1,890,1715262705812
IDU011,22,BLU,BLU,1,b,1,1029,1715262709334
IDU011,24,VERDE,VERDE,1,v,1,979,1715262712322
IDU013,3,ROSSO,ROSSO,1,r,1,872,1715765680873
IDU013,7,BLU,BLU,1,b,1,783,1715765687141
IDU013,8,VERDE,VERDE,1,v,1,867,1715765688532
IDU013,9,VERDE,VERDE,1,v,1,698,1715765689754
IDU013,10,GIALLO,GIALLO,1,g,1,917,1715765691193
IDU013,11,ROSSO,ROSSO,1,r,1,921,1715765692637
IDU013,12,GIALLO,GIALLO,1,g,1,1023,1715765694185
IDU013,14,GIALLO,GIALLO,1,g,1,1193,1715765697745
IDU013,18,ROSSO,ROSSO,1,r,1,884,1715765704451
IDU013,21,BLU,BLU,1,b,1,860,1715765709428
IDU013,23,BLU,BLU,1,b,1,1352,1715765713360
IDU013,24,VERDE,VERDE,1,v,1,1615,1715765715498
IDU015,1,VERDE,VERDE,1,v,1,849,1716546522060
IDU015,2,ROSSO,ROSSO,1,r,1,727,1716546523377
IDU015,5,GIALLO,GIALLO,1,g,1,430,1716546526950
IDU015,7,GIALLO,GIALLO,1,g,1,716,1716546529547
IDU015,8,GIALLO,GIALLO,1,g,1,809,1716546530900
IDU015,10,VERDE,VERDE,1,v,1,450,1716546533482
IDU015,12,VERDE,VERDE,1,v,1,674,1716546535931
IDU015,13,BLU,BLU,1,b,1,852,1716546537331
IDU015,15,ROSSO,ROSSO,1,r,1,617,1716546539805
IDU015,16,ROSSO,ROSSO,1,r,1,447,1716546540778
IDU015,18,BLU,BLU,1,b,1,585,1716546543486
IDU015,19,BLU,BLU,1,b,1,572,1716546544582
IDU017,2,ROSSO,ROSSO,1,r,1,929,1716821028444
IDU017,3,BLU,BLU,1,b,1,757,1716821029726
IDU017,5,BLU,BLU,1,b,1,1229,1716821032877
IDU017,9,GIALLO,GIALLO,1,g,1,591,1716821037470
IDU017,12,ROSSO,ROSSO,1,r,1,604,1716821040850
IDU017,13,VERDE,VERDE,1,v,1,647,1716821042021
IDU017,14,VERDE,VERDE,1,v,1,406,1716821042950
IDU017,15,ROSSO,ROSSO,1,r,1,530,1716821044004
IDU017,18,GIALLO,GIALLO,1,g,1,787,1716821047721
IDU017,20,VERDE,VERDE,1,v,1,569,1716821050106
IDU017,23,BLU,BLU,1,b,1,551,1716821053563
IDU017,24,GIALLO,GIALLO,1,g,1,552,1716821054638
