SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU002,1,BLU,GIALLO,0,g,1,1078,1708701738212
IDU002,2,VERDE,GIALLO,0,g,1,616,1708701739353
IDU002,3,GIALLO,VERDE,0,v,1,949,1708701740900
IDU002,4,ROSSO,VERDE,0,v,1,453,1708701741951
IDU002,5,GIALLO,BLU,0,b,1,751,1708701743298
IDU002,9,ROSSO,GIALLO,0,g,1,798,1708701748123
IDU002,13,ROSSO,BLU,0,b,1,833,1708701753079
IDU002,17,VERDE,ROSSO,0,r,1,674,1708701758461
IDU002,18,BLU,VERDE,0,v,1,959,1708701759943
IDU002,20,GIALLO,ROSSO,0,r,1,755,1708701762491
IDU002,23,BLU,ROSSO,0,r,1,716,1708701766133
IDU002,24,VERDE,BLU,0,b,1,633,1708701767290
IDU008,1,ROSSO,VERDE,0,v,1,1195,1714486900892
IDU008,3,BLU,ROSSO,0,r,1,1416,1714486904481
IDU008,5,GIALLO,ROSSO,0,r,1,968,1714486907422
IDU008,6,GIALLO,BLU,0,b,1,1007,1714486908953
IDU008,8,GIALLO,VERDE,0,v,1,935,1714486911798
IDU008,9,VERDE,BLU,0,b,1,902,1714486913225
IDU008,11,VERDE,GIALLO,0,g,1,944,1714486916281
IDU008,13,VERDE,ROSSO,0,r,1,937,1714486919236
IDU008,20,BLU,VERDE,0,v,1,1010,1714486929269
IDU008,21,ROSSO,GIALLO,0,g,1,894,1714486930688
IDU008,23,BLU,GIALLO,0,g,1,947,1714486933480
IDU008,24,ROSSO,BLU,0,b,1,1512,1714486935516
IDU011,2,VERDE,GIALLO,0,g,1,2281,1715262677033
IDU011,3,BLU,VERDE,0,v,1,995,1715262678552
IDU011,4,BLU,GIALLO,0,g,1,1783,1715262680858
IDU011,6,VERDE,ROSSO,0,r,1,893,1715262683940
IDU011,7,VERDE,BLU,0,b,1,946,1715262685411
IDU011,8,GIALLO,VERDE,0,v,1,919,1715262686855
IDU011,15,BLU,ROSSO,0,r,1,1190,1715262698225
IDU011,16,ROSSO,VERDE,0,v,1,1263,1715262700011
IDU011,18,GIALLO,BLU,0,b,1,1097,1715262702972
IDU011,19,GIALLO,ROSSO,0,r,1,901,1715262704398
IDU011,21,ROSSO,BLU,0,b,1,1445,1715262707781
IDU011,23,ROSSO,GIALLO,0,g,1,961,1715262710819
IDU013,1,VERDE,ROSSO,0,r,1,1634,1715765677703
IDU013,2,GIALLO,BLU,0,b,1,1250,1715765679477
IDU013,4,ROSSO,BLU,0,b,1,947,1715765682345
IDU013,5,ROSSO,VERDE,0,v,1,1186,1715765684055
IDU013,6,VERDE,BLU,0,b,1,1257,1715765685835
IDU013,13,BLU,VERDE,0,v,1,1320,1715765696029
IDU013,15,VERDE,GIALLO,0,g,1,1396,1715765699664
IDU013,16,ROSSO,GIALLO,0,g,1,1269,1715765701455
IDU013,17,BLU,GIALLO,0,g,1,1065,1715765703044
IDU013,19,BLU,ROSSO,0,r,1,1564,1715765706539
IDU013,20,GIALLO,VERDE,0,v,1,980,1715765708044
IDU013,22,GIALLO,ROSSO,0,r,1,1532,1715765711483
IDU015,3,VERDE,GIALLO,0,g,1,820,1716546524721
IDU015,4,BLU,GIALLO,0,g,1,734,1716546525980
IDU015,6,BLU,VERDE,0,v,1,833,1716546528309
IDU015,9,GIALLO,VERDE,0,v,1,1022,1716546532463
IDU015,11,VERDE,ROSSO,0,r,1,690,1716546534696
IDU015,14,ROSSO,VERDE,0,v,1,809,1716546538664
IDU015,17,GIALLO,BLU,0,b,1,1033,1716546542334
IDU015,20,ROSSO,GIALLO,0,g,1,667,1716546545772
IDU015,21,ROSSO,BLU,0,b,1,879,1716546547175
IDU015,22,GIALLO,ROSSO,0,r,1,690,1716546548391
IDU015,23,BLU,ROSSO,0,r,1,611,1716546549527
IDU015,24,VERDE,BLU,0,b,1,865,1716546550916
IDU017,1,VERDE,GIALLO,0,v,0,831,1716821026990
IDU017,4,BLU,GIALLO,0,g,1,874,1716821031123
IDU017,6,ROSSO,VERDE,0,v,1,942,1716821034343
IDU017,7,GIALLO,VERDE,0,v,1,486,1716821035352
IDU017,8,GIALLO,ROSSO,0,r,1,479,1716821036356
IDU017,10,BLU,VERDE,0,v,1,609,1716821038603
IDU017,11,VERDE,BLU,0,r,0,595,1716821039722
IDU017,16,VERDE,ROSSO,0,r,1,582,1716821045109
IDU017,17,ROSSO,BLU,0,b,1,777,1716821046410
IDU017,19,GIALLO,BLU,0,b,1,769,1716821049014
IDU017,21,ROSSO,GIALLO,0,g,1,568,1716821051198
IDU017,22,BLU,ROSSO,0,r,1,767,1716821052488
IDU019,3,BLU,VERDE,0,v,1,973,1717496500173
IDU019,4,VERDE,BLU,0,b,1,1001,1717496501698
IDU019,5,GIALLO,ROSSO,0,r,1,1303,1717496503527
IDU019,6,ROSSO,BLU,0,b,1,1091,1717496505150
IDU019,8,GIALLO,BLU,0,b,1,1028,1717496508095
IDU019,18,VERDE,GIALLO,0,g,1,904,1717496520792
IDU019,19,VERDE,ROSSO,0,r,1,750,1717496522066
IDU019,20,BLU,ROSSO,0,b,0,772,1717496523362
IDU019,21,ROSSO,VERDE,0,v,1,1646,1717496525532
IDU019,22,GIALLO,VERDE,0,v,1,1260,1717496527315
IDU019,23,ROSSO,GIALLO,0,g,1,1023,1717496528863
IDU019,24,BLU,GIALLO,0,g,1,802,1717496530189
IDU021,1,VERDE,BLU,0,b,1,1265,1721315281395
IDU021,3,ROSSO,VERDE,0,v,1,1041,1721315284461
IDU021,4,VERDE,ROSSO,0,r,1,1204,1721315286190
IDU021,5,GIALLO,BLU,0,b,1,1225,1721315287939
IDU021,6,ROSSO,GIALLO,0,g,1,1163,1721315289626
IDU021,7,BLU,GIALLO,0,g,1,788,1721315290938
IDU021,10,BLU,ROSSO,0,r,1,1415,1721315296029
IDU021,11,GIALLO,VERDE,0,v,1,1087,1721315297640
IDU021,15,BLU,VERDE,0,v,1,1023,1721315303532
IDU021,17,GIALLO,ROSSO,0,r,1,1118,1721315306580
IDU021,19,ROSSO,BLU,0,b,1,878,1721315309619
IDU021,21,VERDE,GIALLO,0,g,1,1206,1721315312685
IDU024,1,ROSSO,GIALLO,0,g,1,1026,1725875159335
IDU024,6,ROSSO,BLU,0,b,1,1114,1725875166876
IDU024,8,GIALLO,VERDE,0,v,1,1115,1725875169969
IDU024,9,GIALLO,ROSSO,0,r,1,1101,1725875171594
IDU024,11,ROSSO,VERDE,0,v,1,1060,1725875174633
IDU024,13,VERDE,BLU,0,b,1,972,1725875177609
IDU024,14,BLU,GIALLO,0,g,1,1002,1725875179136
IDU024,15,GIALLO,BLU,0,b,1,1029,1725875180691
IDU024,17,VERDE,GIALLO,0,g,1,1022,1725875183672
IDU024,18,BLU,ROSSO,0,r,1,1043,1725875185240
IDU024,19,BLU,VERDE,0,v,1,1178,1725875186941
IDU024,23,VERDE,ROSSO,0,r,1,1075,1725875192982
IDU025,2,BLU,GIALLO,0,g,1,1008,1726566187590
IDU025,3,GIALLO,ROSSO,0,r,1,917,1726566189032
IDU025,4,ROSSO,BLU,0,b,1,834,1726566190389
IDU025,5,BLU,VERDE,0,v,1,823,1726566191738
IDU025,7,GIALLO,VERDE,0,v,1,1072,1726566194525
IDU025,9,BLU,ROSSO,0,r,1,817,1726566197150
IDU025,10,VERDE,ROSSO,0,r,1,681,1726566198356
IDU025,14,VERDE,GIALLO,0,g,1,919,1726566203628
IDU025,15,ROSSO,VERDE,0,v,1,941,1726566205093
IDU025,18,ROSSO,GIALLO,0,g,1,845,1726566209294
IDU025,19,GIALLO,BLU,0,b,1,678,1726566210498
IDU025,23,VERDE,BLU,0,b,1,589,1726566215278
IDU027,3,GIALLO,BLU,0,b,1,669,1726758044479
IDU027,5,VERDE,ROSSO,0,r,1,868,1726758046929
IDU027,7,BLU,VERDE,0,v,1,650,1726758049230
IDU027,8,VERDE,GIALLO,0,g,1,564,1726758050318
IDU027,10,GIALLO,ROSSO,0,r,1,622,1726758052587
IDU027,11,ROSSO,VERDE,0,v,1,863,1726758053975
IDU027,15,ROSSO,BLU,0,b,1,561,1726758058695
IDU027,16,BLU,ROSSO,0,r,1,692,1726758059911
IDU027,17,GIALLO,VERDE,0,g,0,890,1726758061326
IDU027,19,BLU,GIALLO,0,g,1,662,1726758063761
IDU027,22,ROSSO,GIALLO,0,g,1,562,1726758067187
IDU027,24,VERDE,BLU,0,b,1,493,1726758069282
IDU029,1,BLU,GIALLO,0,g,1,1120,1727183557443
IDU029,4,VERDE,GIALLO,0,g,1,1047,1727183561515
