SUBJECT,RT_mean,RT_median,RT_std,RT_cv,RT_skew,RT_kurt,RT_iqr,RT_outlier,RT_noerrors,RT_nsamples
IDU002,692.75,662.0,159.0083617012297,0.22953209917174983,1.1103459612742148,1.2688860178586232,160.0,1,0,12
IDU008,924.0833333333334,909.5,121.31511060295028,0.13128156977503863,0.5254144195379046,-1.033860671073458,166.25,0,0,12
IDU011,1022.25,1004.0,188.45550475570425,0.18435363634698387,0.945727659851978,0.8934089171281014,217.25,1,0,12
IDU013,998.75,900.5,262.581632328622,0.2629102701663299,1.251804504549754,0.6037439575687249,200.25,1,0,12
IDU015,644.0,645.5,152.88795659805018,0.23740365931374252,-0.060238518366397924,-1.2731739620776208,206.0,0,0,12
IDU017,679.3333333333334,597.5,221.25318008329214,0.325691629170695,1.340670988797166,1.2293478736373942,212.75,1,0,12
IDU019,778.1666666666666,775.0,124.85106278597664,0.16044257372367957,0.6407523894089008,-0.1692084430206906,175.0,0,0,12
IDU021,928.5,895.0,112.59460668498049,0.12126505835754496,0.47857245346476823,-0.8993386674532551,135.5,0,0,12
IDU024,944.1666666666666,930.5,54.846618083082525,0.058089975021799675,0.7081792885506185,0.10886545297729855,48.0,1,0,12
IDU025,763.25,747.0,98.93259872715915,0.12962017520754557,0.40969256386971575,-1.20071671161404,156.25,0,0,12
IDU027,637.1666666666666,615.0,91.00732571245753,0.14283127237110782,0.4350154904791562,-1.001365376239375,167.0,0,0,12
IDU029,729.5,806.5,194.2989730006078,0.26634540507280025,0.0012590348194615021,-1.2495695420890676,305.0,0,0,12
IDU031,732.0833333333334,601.0,313.1260153918092,0.4277190876154479,2.174606961043121,3.5958474341422306,116.25,2,0,12
IDU033,951.75,908.5,220.46113860806318,0.2316376554852253,1.2583060905974768,0.7687002484101835,179.5,2,0,12
IDU035,713.75,708.5,67.99214526827211,0.09526044871211505,0.1819636508855364,-0.9448379994514235,104.5,0,0,12
IDU037,1686.4166666666667,1725.0,341.73845882842073,0.20264177031877495,0.04244090055248088,-0.3775218014806776,293.5,2,0,12
IDU038,1122.5833333333333,1191.0,247.3831986406857,0.22036956303824723,-0.06367441978880412,-1.0423552244694465,332.5,0,0,12
IDU040,1155.9166666666667,1000.5,395.245713755917,0.3419327060104537,1.6059013645618454,1.3846580670321824,235.75,2,0,12
ALL,894.6898148148148,838.0,320.3816925466175,0.35809247768505215,1.6566000608288531,3.5540282559533454,302.25,16,0,216
