SUBJECT,RT_mean,RT_median,RT_std,RT_cv,RT_skew,RT_kurt,RT_iqr,RT_outlier,RT_noerrors,RT_nsamples
IDU002,767.9166666666666,753.0,171.36322843774292,0.22315341739044114,0.09179069483132288,-0.41731947482648524,198.25,0,0,12
IDU008,1055.5833333333333,957.5,207.21155563307465,0.19630051848084756,1.3852046011259402,0.37064439970825624,119.75,2,0,12
IDU011,1222.8333333333333,1046.0,426.7391865452871,0.3489757556592235,1.4923111589419367,1.184539832493658,369.25,1,0,12
IDU013,1283.3333333333333,1263.0,221.95385815866132,0.17295105830545038,0.04117152087137262,-1.0001443210164067,274.25,0,0,12
IDU015,804.4166666666666,814.5,133.94059628556735,0.1665064907724861,0.3846223165202624,-0.7998902756685888,178.5,0,0,12
IDU017,685.3,688.0,161.9753410587893,0.23635683796700613,0.15655496407378786,-1.2960129631157264,203.5,0,2,10
IDU019,1071.0,1023.0,253.4793877221578,0.2366754320468327,0.9703581133656696,0.47035948035869835,237.0,1,1,11
IDU021,1117.75,1140.5,170.7859505611949,0.15279440891182725,-0.3594094505221972,-0.228760828885596,174.25,0,0,12
IDU024,1061.4166666666667,1051.5,57.76513313462201,0.05442267391186811,0.4323515206856015,-0.46410824780865534,79.25,0,0,12
IDU025,843.6666666666666,839.5,141.31289160346742,0.1674984886647184,-0.2459596871347906,-0.6974141239459168,141.5,0,0,12
IDU027,655.0909090909091,650.0,119.73759187945491,0.18278011527532667,0.7332024009580668,-0.41041022072060906,117.5,2,1,11
IDU029,877.75,970.0,258.0067388126273,0.2939410296925404,-0.303691885286318,-1.4084851517463353,482.25,0,0,12
IDU031,734.5833333333334,702.0,134.98380935459923,0.1837556111463631,0.4719535139734257,-1.2375407588570402,216.25,0,0,12
IDU033,1218.0833333333333,1087.0,351.7996481297876,0.2888141053265001,2.2122369567914717,4.092511187144826,179.5,1,0,12
IDU035,850.0,854.5,140.4978162237277,0.1652915484985032,-0.11644290746442741,-0.8112456551562031,129.75,0,0,12
IDU037,1582.3333333333333,1589.5,411.99036470051163,0.26036888436939853,0.04117143833046835,-1.527679332261744,758.75,0,0,12
IDU038,1346.3636363636363,1339.0,234.3993484322312,0.17409809809281185,0.2631052962609292,-0.9846076060702833,385.0,0,1,11
IDU040,1421.6666666666667,1330.5,313.52637509273103,0.2205343787287674,0.26946151985169675,-1.3318547281087163,566.25,0,0,12
ALL,1033.851851851852,992.5,349.96752845556813,0.33850839250198245,1.066931978095644,1.3915930627135076,387.5,11,5,216
