SUBJECT,MEAN GONOGO TIME,MEAN STROOP TIME,MEAN T1,MEAN T2,MEAN T1+T2,MEAN T3,MEAN UNCERTAINITY,NUMBER OF STROOP ERROR,NUMBER OF GONOGO ERROR,NUMBER OF UNCERTAINITY
IDU002,282.701,730.333,637.824,452.833,598.294,598.294,N/A,0,0,N/A
IDU008,273.714,989.833,559.118,244.583,578.647,578.647,N/A,0,1,N/A
IDU011,261.429,1122.542,584.588,359.714,476.706,476.706,N/A,0,1,N/A
IDU013,288.013,1141.042,587.938,266.667,881.938,881.938,N/A,0,2,N/A
IDU015,277.117,724.208,743.529,382.467,576.824,576.824,N/A,0,0,N/A
IDU017,219.714,684.625,592.471,321.455,476.647,476.647,N/A,2,2,N/A
IDU019,267.325,912.125,724.286,393.500,607.429,607.429,N/A,1,1,N/A
IDU021,323.857,1023.125,663.235,370.200,427.706,427.706,N/A,0,0,N/A
IDU024,365.104,1002.792,680.882,442.533,463.235,463.235,N/A,0,0,N/A
IDU025,257.416,803.458,655.294,603.231,578.765,578.765,N/A,0,4,N/A
IDU027,248.195,655.917,694.312,436.000,533.688,533.688,N/A,1,1,N/A
IDU029,296.870,803.625,598.529,562.357,441.471,441.471,N/A,0,0,N/A
IDU031,247.195,733.333,659.471,436.231,467.176,467.176,N/A,0,0,N/A
IDU033,257.208,1084.917,700.471,300.308,359.000,359.000,N/A,0,0,N/A
IDU035,272.610,781.875,641.706,428.692,682.882,682.882,N/A,0,0,N/A
IDU037,295.571,1634.375,839.706,358.438,427.706,427.706,N/A,0,1,N/A
IDU038,321.364,1239.958,663.353,672.583,594.588,594.588,N/A,1,0,N/A
IDU040,479.442,1288.792,645.588,467.231,563.353,563.353,N/A,0,0,N/A
