SUBJECT,T1_mean,T1_median,T1_std,T1_cv,T1_skewness,T1_kurtosis,T1_iqr,T1_outlier,T1_nsamples,T2_mean,T2_median,T2_std,T2_cv,T2_skewness,T2_kurtosis,T2_iqr,T2_outlier,T2_nsamples,T1+T2_mean,T1+T2_median,T1+T2_std,T1+T2_cv,T1+T2_skewness,T1+T2_kurtosis,T1+T2_iqr,T1+T2_outlier,T1+T2_nsamples,T3_mean,T3_median,T3_std,T3_cv,T3_skewness,T3_kurtosis,T3_iqr,T3_outlier,T3_nsamples
IDU002,669.3125,667.5,87.33362754403369,0.13048258854277142,-0.06285290688045872,-0.23731473125923452,84.25,0,16,604.4375,550.5,218.90301315118225,0.362159881131105,0.6459583014876399,-0.06335027117013325,175.25,2,16,1273.75,1251.0,204.46042811915137,0.16051849116321992,0.7612507270152045,0.2823114955446653,175.25,2,16,481.8181818181818,533.0,178.51488351497093,0.37050258842729816,-0.5745659150003714,-0.9602905506476711,233.5,0,11
IDU008,592.0,600.5,102.90707782590403,0.1738295233545676,0.34123987395353383,0.27678269996432014,91.75,1,16,564.8125,583.5,162.23736468520437,0.2872411015783191,0.4554509237754834,-0.11210382624496962,217.5,0,16,1156.8125,1084.0,190.7124253074945,0.16486027364632946,0.34732063873661095,-0.35512380914648567,224.75,0,16,263.8181818181818,267.0,73.74254970072323,0.27952034690143196,0.5307957763743102,-0.7494659686580771,100.0,0,11
IDU011,584.5882352941177,600.0,99.93376482921664,0.17094727330415405,-0.7102574427049702,-0.0233830201236227,67.0,2,17,476.70588235294116,434.0,133.8435489227452,0.2807675631400134,-0.1091360686855972,-0.68003685448185,167.0,0,17,1061.2941176470588,1034.0,128.63794381221777,0.12120857137832293,-0.6868650674578581,0.5598992680930448,167.0,1,17,379.6923076923077,400.0,94.94505833672494,0.25005789270207135,-0.9898192660957742,-0.08775090486400572,134.0,0,13
IDU013,587.9375,633.0,153.9192293596439,0.26179522374341474,-0.35440564374426003,0.5474287659536725,150.5,2,16,881.9375,817.5,403.8383288313943,0.45789903347050587,1.086464461668964,0.8738763769778144,466.5,1,16,1469.875,1418.0,385.8305111487858,0.2624920562284451,1.002355645905285,0.0746966614578195,426.0,1,16,314.42857142857144,333.0,50.56961255819264,0.16083020804513787,-0.48042699211413487,-1.0789336639385902,67.0,0,7
IDU015,743.5294117647059,734.0,105.9528890870011,0.14249992994296035,0.5736811560414325,0.2817521774196994,134.0,0,17,576.8235294117648,434.0,322.81829937561577,0.5596482856807534,2.159221188707375,4.789090020977081,333.0,1,17,1320.3529411764705,1268.0,310.8186652166482,0.2354057430581404,2.353468150230358,5.730268119011514,267.0,1,17,382.46666666666664,399.0,165.02894407028236,0.4314858220418748,1.6389411604010935,3.01432743734481,184.0,1,15
IDU017,592.4705882352941,601.0,118.94752921302045,0.20076528957717907,-2.859426432338798,8.066299830838357,100.0,1,17,476.6470588235294,400.0,209.70543065705004,0.4399595608009195,1.2010855255837785,0.5643735094427464,234.0,1,17,1069.1176470588234,1066.0,218.23836806143333,0.20412942267094178,0.4861588691878102,0.5582090651220799,234.0,1,17,321.45454545454544,300.0,76.59812482869752,0.23828602180873099,0.7776289648285882,-0.714591536202569,100.0,0,11
IDU019,724.2857142857143,683.5,182.10412430231253,0.25142581264619085,0.8926822450310301,0.03298931265449623,183.5,2,14,607.4285714285714,550.5,178.12602033638748,0.29324603536093896,0.35715827949704393,-1.0289393814276557,283.5,0,14,1331.7142857142858,1284.0,245.52751015264715,0.1843695098764782,0.6106418931373883,-0.354442938038114,326.75,0,14,393.5,417.5,123.37949586539897,0.31354382684980675,-0.14506221786867604,-1.2281908793260945,200.0,0,10
IDU021,700.5,734.0,110.88252041387467,0.1582905359227333,-2.3402865678963174,5.744389561453493,34.0,4,16,444.0,433.5,104.53579929064173,0.23544098939333724,0.17083656685573226,-0.7414265106974001,116.75,0,16,1144.5,1150.5,185.29939737264843,0.16190423536273343,-1.3953553349154189,2.7485612270511863,167.0,1,16,370.2,383.5,128.23052158775096,0.3463817438891166,-0.08268967729569572,-1.2085222122290624,200.5,0,10
IDU024,680.8823529411765,701.0,129.0168992578788,0.18948486284094512,-1.3282931847673298,1.0797361427350447,100.0,2,17,463.2352941176471,434.0,209.16934808061768,0.4515401799835556,1.5646729231393735,2.187377258361562,168.0,2,17,1144.1176470588234,1133.0,187.8349948601635,0.16417454563613265,1.6661674208751793,4.0376138760090825,168.0,1,17,442.53333333333336,401.0,150.79260434056283,0.3407485786544806,0.1484031852616607,-1.191513807965467,266.5,0,15
IDU025,655.2941176470588,701.0,168.37189666994695,0.25694095542092443,-1.0887799325859395,0.6132809537139758,134.0,2,17,578.7647058823529,534.0,214.0170931876017,0.36978255759622203,1.5204430649585559,2.4874739790178833,198.0,1,17,1234.0588235294117,1201.0,302.3570882640746,0.24501027220026067,1.251352438549092,1.5434215716801694,265.0,1,17,603.2307692307693,601.0,85.58344256353352,0.14187512794260848,0.39565821460615486,-0.4470788341548486,67.0,1,13
