SUBJECT,T1_mean,T1_median,T1_std,T1_cv,T1_skewness,T1_kurtosis,T1_iqr,T1_outlier,T1_nsamples,T2_mean,T2_median,T2_std,T2_cv,T2_skewness,T2_kurtosis,T2_iqr,T2_outlier,T2_nsamples,T1+T2_mean,T1+T2_median,T1+T2_std,T1+T2_cv,T1+T2_skewness,T1+T2_kurtosis,T1+T2_iqr,T1+T2_outlier,T1+T2_nsamples,T3_mean,T3_median,T3_std,T3_cv,T3_skewness,T3_kurtosis,T3_iqr,T3_outlier,T3_nsamples
IDU002,653.8,667.5,66.97561745391627,0.10244052837858103,-1.137023199223304,0.7386960159292042,66.75,1,10,633.6,583.5,271.49389188954757,0.4284941475529475,0.2620835707584388,-1.0549591279918553,383.0,0,10,1287.4,1233.5,258.78699950173524,0.2010152240964232,0.48105343357666225,-0.909836272415045,325.0,0,10,476.14285714285717,500.0,211.44773079213422,0.4440846431277946,-0.41808662999125434,-1.339025789255351,317.0,0,7
IDU008,608.6666666666666,601.0,109.32880626252113,0.1796201636295528,0.10732384929064925,0.14895262097673623,100.0,1,12,586.3333333333334,583.5,157.5328729523018,0.2686745985542384,0.7486968723563764,0.027902926676168338,159.0,1,12,1195.0,1151.0,178.12610446228564,0.14905950164208004,0.6829385280007455,-0.7367441502105208,216.5,0,12,263.8181818181818,267.0,73.74254970072323,0.27952034690143196,0.5307957763743102,-0.7494659686580771,100.0,0,11
IDU011,595.0769230769231,600.0,107.71139025072321,0.18100414597458658,-0.9549618664568857,0.18718381251260396,100.0,2,13,474.6923076923077,434.0,103.66885148987988,0.2183916819589108,0.27717079754267526,-1.3143832004329463,167.0,0,13,1069.7692307692307,1034.0,101.90531049799273,0.09525915269101212,0.4609091009125497,-1.0640133279791903,101.0,0,13,396.9,400.5,74.66436008342043,0.18811882107185798,-0.942697290206734,-0.40727638300427227,58.75,2,10
IDU013,613.8,634.0,169.47618646222182,0.2761097856992861,-0.7539922090021753,1.174858448369804,100.0,2,10,794.0,767.5,296.02740113412176,0.37283048001778557,0.5023583188556975,-1.0077947549868493,408.5,0,10,1407.8,1301.5,359.80914694073886,0.2555825734768709,1.0970457514493455,0.3192868915124172,359.5,1,10,300.2,300.0,52.968858775699516,0.17644523243071125,-0.00633198920606831,-1.2999572314491954,67.0,0,5
IDU015,751.8181818181819,734.0,128.5906825410132,0.17103960192879625,0.3393250158734134,-0.6347295193433125,166.5,0,11,470.0,400.0,161.69724796668618,0.34403669780145996,0.7882037173997183,-1.0610610512449408,216.0,0,11,1221.8181818181818,1201.0,113.75220277587435,0.0931007612004924,0.07278977246879463,-1.0627070696175802,168.0,0,11,417.0,416.5,180.32994451529368,0.43244591010861794,1.5834433525393918,2.0653096925546093,158.75,1,10
IDU017,630.9166666666666,633.0,43.67120610223906,0.06921865978429122,-0.09540707793895306,-1.2100309309839028,66.25,0,12,439.0833333333333,383.5,208.5702228957621,0.47501284394555804,1.7293949180961512,2.435155300575233,191.25,1,12,1070.0,1051.0,185.8342369865242,0.1736768569967516,1.569136352684161,2.4190342873283566,166.0,1,12,323.5,283.5,80.42422244296525,0.24860656087469937,0.6717305732184333,-0.966237746839226,100.0,0,10
IDU019,730.6,650.5,209.03598839540632,0.28611550560553833,0.8035050261200968,-0.5539930610389936,183.5,2,10,673.8,684.0,163.9273551844773,0.24328785275226672,0.045538892888035344,-1.2358995179951557,249.5,0,10,1404.4,1401.0,249.8387035224482,0.17789711159388222,0.21610528271114263,-0.4981772162902125,342.25,0,10,393.5,417.5,123.37949586539897,0.31354382684980675,-0.14506221786867604,-1.2281908793260945,200.0,0,10
IDU021,713.8,734.0,44.926606816006036,0.06294004877557585,-1.6162370792400136,2.177373672990762,34.0,1,10,463.6,467.0,109.3965264530826,0.2359717999419383,0.03280605292431651,-1.0237762507295987,142.0,0,10,1177.4,1184.0,126.7685555122668,0.10766821429613282,0.31977074085111984,-1.1975883939059089,166.75,0,10,350.25,350.5,134.7312139038315,0.3846715600394904,0.24768765673695825,-1.191235199605517,217.5,0,8
IDU024,693.9,717.5,116.21001104322582,0.1674737152950365,-1.6064538764800518,2.2861824372960013,91.75,1,10,503.9,467.5,244.15816822525335,0.4845369482541245,1.345235954417704,0.8706930819469529,158.75,2,10,1197.8,1168.0,208.7203338867054,0.1742530755440853,1.7754371011335828,2.571407572876921,167.75,1,10,423.5,417.0,150.3220616616943,0.35495173946090747,-0.02985532212527742,-1.443952089777356,266.75,0,10
IDU025,666.9090909090909,734.0,204.98802625785467,0.30737026838009834,-1.1369547532926962,-0.0470758793774233,150.0,2,11,624.5454545454545,567.0,253.43849890510464,0.40579672313772214,0.9809786018971955,0.6193656399525809,200.5,1,11,1291.4545454545455,1267.0,359.82755971058236,0.2786219313541043,0.7677602209196868,0.024257750848577064,399.5,1,11,611.7777777777778,601.0,88.19265527494024,0.14415799082354924,0.6829393348528032,-0.6654038704852137,67.0,1,9
